Composer,Title,Catalog Number,Completed,Nickname,Work Number,Work Nickname,Key,Notes,Wikipedia,IMSLP,Opus IMSLP,Opus Notes
Boccherini,55,213,1787,,,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_A_major%2C_G.213_(Boccherini%2C_Luigi),,
Boccherini,56,214,1788,,1,,c minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/2_String_Quartets,_G.214-215_(Op.41)_(Boccherini,_Luigi)",
Boccherini,57,215,1788,,2,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/2_String_Quartets,_G.214-215_(Op.41)_(Boccherini,_Luigi)",
Boccherini,58,216,1789,,1,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,59,217,1789,,2,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,60,218,1790,,1,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,61,219,1790,,2,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,62,220,1792,,1,,B-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,63,221,1792,,2,,e minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,64,222,1792,,3,,F Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,65,223,1792,,4,la tiranna,G Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_G_major%2C_G.223_'La_Tiranna'_(Boccherini%2C_Luigi),,
Boccherini,66,224,1792,,5,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_D_major%2C_G.224_(Boccherini%2C_Luigi),,
Boccherini,67,225,1792,,6,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,68,226,1794,,1,,F Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,69,227,1794,,2,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,70,228,1794,,3,,b minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,71,229,1794,,4,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,72,230,1794,,5,,G Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,73,231,1794,,6,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,74,232,1795,,1,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/4_String_Quartets,_G.232-235_(Op.52)_(Boccherini,_Luigi)",
Boccherini,75,233,1795,,2,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/4_String_Quartets,_G.232-235_(Op.52)_(Boccherini,_Luigi)",
Boccherini,76,234,1795,,3,,G Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/4_String_Quartets,_G.232-235_(Op.52)_(Boccherini,_Luigi)",
Boccherini,77,235,1795,,4,,f minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/4_String_Quartets,_G.232-235_(Op.52)_(Boccherini,_Luigi)",
Boccherini,78,236,1796,,1,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_E-flat_major%2C_G.236_(Boccherini%2C_Luigi),,
Boccherini,79,237,1796,,2,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_D_major%2C_G.237_(Boccherini%2C_Luigi),,
Boccherini,80,238,1796,,3,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_C_major%2C_G.238_(Boccherini%2C_Luigi),,
Boccherini,81,239,1796,,4,,A Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_A_major%2C_G.239_(Boccherini%2C_Luigi),,
Boccherini,82,240,1796,,5,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_C_major%2C_G.240_(Boccherini%2C_Luigi),,
Boccherini,83,241,1796,,6,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,https://imslp.org/wiki/String_Quartet_in_E-flat_major%2C_G.241_(Boccherini%2C_Luigi),,
Boccherini,84,242,1799,,1,,C Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.242-247_(Op.58)_(Boccherini,_Luigi)",
Boccherini,85,243,1799,,2,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.242-247_(Op.58)_(Boccherini,_Luigi)",
Boccherini,86,244,1799,,3,,B-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.242-247_(Op.58)_(Boccherini,_Luigi)",
Boccherini,87,245,1799,,4,,b minor,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.242-247_(Op.58)_(Boccherini,_Luigi)",
Boccherini,88,246,1799,,5,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.242-247_(Op.58)_(Boccherini,_Luigi)",
Boccherini,89,247,1799,,6,,E-Flat Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,"https://imslp.org/wiki/6_String_Quartets,_G.242-247_(Op.58)_(Boccherini,_Luigi)",
Boccherini,90,248,1804,Luciano Bonaparte,1,,F Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
Boccherini,91,249,1804,Luciano Bonaparte,2,,D Major,,https://en.wikipedia.org/wiki/List_of_compositions_by_Luigi_Boccherini#String_Quartets,,,
